datetime,headline,url,sentiment
Aug-13-25 Today 10:12AM,"Amazon will more than double its grocery footprint in the US by the end of the year, threatening to disrupt the industry",https://finance.yahoo.com/news/amazon-more-double-grocery-footprint-141229384.html,Negative
2025-08-13 09:38:00,Kroger stock falls after Amazon announces major grocery expansion,https://finance.yahoo.com/news/kroger-stock-falls-amazon-announces-133808286.html,Neutral
2025-08-13 09:06:00,"Amazon adds perishable foods to same-day delivery to take on Instacart, Walmart",https://finance.yahoo.com/news/amazon-expands-same-day-grocery-130624080.html,Neutral
2025-08-13 09:00:00,"Amazon Announces Major Grocery Expansion: Tens of Millions of Prime Members Can Now Shop Perishable Groceries Alongside the Rest of Amazons Same-Day Selection with Fast, Free Delivery",https://www.businesswire.com/news/home/20250813190333/en/Perishable,Positive
2025-08-13 08:55:00,Kodaks Troubles Hold a Lesson for the AI Age,https://finance.yahoo.com/m/c8695952-73a8-3e1e-8f8f-44520af44d46/kodak%E2%80%99s-troubles-hold-a.html,Negative
2025-08-13 08:50:00,How to Boost Your Portfolio with Top Retail and Wholesale Stocks Set to Beat Earnings,https://finviz.com/news/139184/how-to-boost-your-portfolio-with-top-retail-and-wholesale-stocks-set-to-beat-earnings,Positive
2025-08-13 08:48:00,"Parks Associates Forecasts the Market for Smart Thermostats Will Reach Unit Sales of 8.1 million in 2030, with Annual Revenues Exceeding $1.1 billion",https://finance.yahoo.com/news/parks-associates-forecasts-market-smart-124800018.html,Positive
2025-08-13 08:00:00,ClimeCo Certified Product Program Reapproved for Amazon's Climate Pledge Friendly Badge,https://finance.yahoo.com/news/climeco-certified-product-program-reapproved-120000597.html,Positive
2025-08-13 07:42:00,Buy MSFT Amid Double-Digit Short-Term Upside on AI and Cloud Strength,https://finviz.com/news/139071/buy-msft-amid-double-digit-short-term-upside-on-ai-and-cloud-strength,Positive
2025-08-13 06:49:00,AI Weekly: Nvidia's future in China and $1 AI offers,https://finance.yahoo.com/video/ai-weekly-nvidias-future-china-104918573.html,Neutral
2025-08-13 05:26:00,"Priority Fulfillment Expands Operations with 30,000 Sq Ft South Florida Facility",https://finance.yahoo.com/news/priority-fulfillment-expands-operations-30-092600151.html,Neutral
2025-08-13 05:19:00,XTransfer Attends Brazil's Largest E-Commerce Summit,https://finance.yahoo.com/news/xtransfer-attends-brazils-largest-e-091900568.html,Neutral
2025-08-13 04:44:00,Prediction: This Artificial Intelligence (AI) Stock Could Hit a $5 Trillion Valuation by 2030,https://finviz.com/news/138098/prediction-this-artificial-intelligence-ai-stock-could-hit-a-5-trillion-valuation-by-2030,Neutral
2025-08-13 04:17:00,3 No-Brainer AI Stocks to Buy Right Now,https://finviz.com/news/137987/3-no-brainer-ai-stocks-to-buy-right-now,Neutral
2025-08-13 03:55:00,Billionaires Buy a Brilliant Growth Stock That Has Partnered With Amazon,https://finviz.com/news/137868/billionaires-buy-a-brilliant-growth-stock-that-has-partnered-with-amazon,Neutral
2025-08-13 03:54:00,Kodaks Demise Holds a Lesson for the AI Age,https://finance.yahoo.com/m/c8695952-73a8-3e1e-8f8f-44520af44d46/kodak%E2%80%99s-demise-holds-a-lesson.html,Positive
2025-08-13 00:00:00,"DA Davidson and Citigroup Raise PT on Amazon.com, Inc. (AMZN)",https://finviz.com/news/137675/da-davidson-and-citigroup-raise-pt-on-amazoncom-inc-amzn,Neutral
2025-08-12 22:51:00,5 Must-Read Analyst Questions From Amazon's Q2 Earnings Call,https://finviz.com/news/138954/5-must-read-analyst-questions-from-amazons-q2-earnings-call,Negative
2025-08-12 22:50:00,"AMZN Q2 Deep Dive: Cloud Margins, Tariff Uncertainty, and Robotics Dominate Discussion",https://finviz.com/news/138944/amzn-q2-deep-dive-cloud-margins-tariff-uncertainty-and-robotics-dominate-discussion,Neutral
2025-08-12 16:59:00,Kodak's Demise Holds a Lesson for the AI Age,https://www.barrons.com/articles/kodak-bankruptcy-camera-film-ef6fbcb6?mod=bar_FV,Positive
2025-08-12 16:27:00,Harvard University reveals shocking Bitcoin investment,https://finance.yahoo.com/m/0448375b-f292-3e59-b8d7-39ea0315bd8f/harvard-university-reveals.html,Neutral
2025-08-12 16:09:00,Big Tech is driving the stock market to new records,https://finance.yahoo.com/news/big-tech-is-driving-the-stock-market-to-new-records-200917939.html,Positive
2025-08-12 14:08:00,"Former Amazon aggregator turns to Solana, records $70K in daily rewards",https://finance.yahoo.com/m/8e638a3d-aeca-34c6-b04d-4261c60efd16/former-amazon-aggregator.html,Neutral
2025-08-12 13:43:00,Target Stock Could Use Two Things for a Turnaround,https://www.barrons.com/articles/target-stock-price-turnaround-2a821fc5?mod=bar_FV,Neutral
2025-08-12 12:30:00,Netflix's Content Strength Drives Engagement: What's the Path Forward?,https://finviz.com/news/137182/netflixs-content-strength-drives-engagement-whats-the-path-forward,Positive
2025-08-12 12:30:00,Mag 7 & AI: Playing for 'big gains' can also mean 'big losses',https://finance.yahoo.com/video/mag-7-ai-playing-big-163000721.html,Negative
2025-08-12 12:21:00,"Apple Rises 9% in a Month: Buy, Sell or Hold the AAPL Stock?",https://finviz.com/news/137180/apple-rises-9-in-a-month-buy-sell-or-hold-the-aapl-stock,Positive
2025-08-12 11:36:00,"BofA: The e-commerce surge continued in July, early data constructive for Amazon",https://finance.yahoo.com/news/bofa-e-commerce-surge-continued-153653174.html,Positive
2025-08-12 11:19:00,SPOT Skyrockets 106% in a Year: How Should You Play the Stock?,https://finviz.com/news/137074/spot-skyrockets-106-in-a-year-how-should-you-play-the-stock,Neutral
2025-08-12 11:00:00,"Meet Neurosymbolic AI, Amazons Method for Enhancing Neural Networks",https://finance.yahoo.com/m/605729c4-9fd8-3b2b-8fa7-14a4314351b5/meet-neurosymbolic-ai%2C.html,Neutral
2025-08-12 10:46:00,Best Gig Economy Stocks That Can Strengthen Your Portfolio,https://finviz.com/news/137009/best-gig-economy-stocks-that-can-strengthen-your-portfolio,Positive
2025-08-12 10:38:00,Circle Internet Aces Its First Earnings Test. The Stock Is Rising.,https://finance.yahoo.com/m/e01453dd-7b31-3aac-b306-fce24a0ebd03/circle-internet-aces-its.html,Positive
2025-08-12 09:57:00,AST SpaceMobile Stock Soars After Earnings. Its Challenge to Musks SpaceX Is Ramping Up.,https://finance.yahoo.com/m/ab9cd9f6-3ab5-34a8-ac96-2e79af2e0899/ast-spacemobile-stock-soars.html,Negative
2025-08-12 09:35:00,Health & Fitness Stocks Positioned for Strong 2025 Growth,https://finviz.com/news/136860/health-fitness-stocks-positioned-for-strong-2025-growth,Positive
2025-08-12 09:06:00,TTD Stock Crashes Post Q2 Earnings: Stay Invested or Make an Exit?,https://finviz.com/news/136828/ttd-stock-crashes-post-q2-earnings-stay-invested-or-make-an-exit,Neutral
2025-08-12 09:00:00,XTransfer Attends Brazils Largest E-Commerce Summit,https://finance.yahoo.com/news/xtransfer-attends-brazil-largest-e-130000616.html,Neutral
